"node_id","node_type","all_time_communities","slice_1650_1699","slice_1675_1724","slice_1700_1749","slice_1725_1774","slice_1750_1799","slice_1775_1824","slice_1800_1849","slice_1825_1874","slice_1850_1899","slice_1875_1924","publication_communities"
"F. E. Baxandall, A. R. C. S.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"Morris W. Travers, D. Sc., F. R. S.","author",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA
"Professor Ernest Wilson","author",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA
"Sir William H. Preece, K. C. B., F. R. S.","author",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA
"John Hughes Davies, B. Sc.","author",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"William J. S. Lockyer M. A., Ph. D., F. R. A. S.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"E. G. J. Hartley","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"W. N. Shaw, Sc. D., F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"W. B. Huff","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Professor G. F. Hull","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"John Johnston, B. Sc., A. I. C.","author",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA
"Professor James Walker, F. R. S.","author",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA
"Alexander Charles Cumming, D. Sc.","author",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA
"James N. Shoolbred, B. A. (Lond.), M. Inst. C. E.","author",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
"Lord Kelvin, F. R. S.","author",29,NA,NA,NA,NA,NA,NA,NA,NA,10,27,NA
"P. Phillips, B. A., M. Sc.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"O. W. Richardson, M. A.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Albert Campbell, B. A.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Dr. R. T. Glazebrook, F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"W. H. Logeman, M. A.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"J. A. Harker, D. Sc.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,15,11,NA
"Major G. P. Lenox-Conyngham, R. E.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Francis L. Usher","author",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA
"Robert John Caldwell, B. Sc. (Lond.)","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Professor H. E. Armstrong, F. R. S.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Reginald Graham Durrant, M. A., F. C. S.","author",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"W. A. Shenstone, F. R. S.","author",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"W. A. Douglas Rudge, M. A.","author",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA
"E. H. B\#xFC;chner, Ph. D.","author",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
"Sir William Ramsay, F. R. S.","author",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
"L. Southerns","author",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
"Professor W. M. Hicks, F. R. S.","author",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
"J. W. Gifford","author",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"Bertrand J. P. Roberts","author",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA
"Sir John I. Thornycroft, F. R. S.","author",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA
"Orme Masson, D. Sc., F. R. S.","author",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"E. S. Richards, B. Sc.","author",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"P. F. F.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"B. W.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"A. N.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"H. F. N.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"E. D.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"A. M. F.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"A. M.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"H. H. T.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"J. E. S.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"R. S. B.","author",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"Frederick Soddy, M. A.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Arthur John Berry","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"S. E. Sheppard, D. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"C. E. K. Mees, D. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"Joseph Edward Coates, B. Sc.","author",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
"H. Stanley Allen, M. A., B. Sc.","author",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"Professor H. A. Wilson, F. R. S.","author",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"Howard L. Bronson, Ph. D.","author",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"Professor E. Rutherford, F. R. S.","author",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"E. Gold, B. A.","author",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"Humphrey Owen Jones, M. A., D. Sc.","author",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"Francis William Aston, A. I. C.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Frank Horton, D. Sc., B. A.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"the Earl of Berkeley","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"S. W. J. Smith, M. A., A. R. C. S.","author",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"Sir Arthur W. R\#xFC;cker, F. R. S.","author",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"A. A. Campbell Swinton","author",29,NA,NA,NA,NA,NA,NA,NA,NA,10,27,NA
"Sir William Crookes, F. R. S.","author",29,NA,NA,NA,NA,NA,NA,NA,NA,16,27,NA
"Bertram Hopkinson","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"Professor H. L. Callendar, F. R. S.","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"R. S. Hutton","author",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Professor A. Schuster, F. R. S.","author",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Sidney Russ","author",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Professor Arthur Schuster, F. R. S.","author",8,NA,NA,NA,NA,NA,NA,NA,NA,17,8,NA
"R. Threlfall, F. R. S.","author",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"O. U. Vonwiller, B. Sc.","author",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"W. H. Mason, B. Sc.","author",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"L. N. G. Filon, M. A., D. Sc.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"E. Parr Metcalfe, B. Sc.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"Professor Trouton, F. R. S.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"T. H. Laby","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Prof. J. J. Thomson, F. R. S.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,12,20,NA
"R. D. Kleeman, B. Sc.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Lawrence Bradshaw, M. Sc.","author",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
"Lawrence Bradshaw, M. Sc., Ph. D.","author",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA
"Professor H. B. Dixon, F. R. S.","author",57,NA,NA,NA,NA,NA,NA,NA,NA,18,56,NA
"A. Mallock, F. R. S.","author",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
"Charles H. Lees, D. Sc., F. R. S.","author",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
"J. E. Petavel, M. Sc.","author",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
"J. T. Bottomley, M. A., LL. D., D. Sc., F. R. S.","author",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"F. A. King","author",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"T. C. Porter, M. A., D. Sc., F. R. A. S., etc.","author",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
"W. P. Colfox","author",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
"Robert Robertson, M. A., D. Sc.","author",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA
"Col. Holden, R. A., F. R. S.","author",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA
"H. A. Miers, M. A., D. Sc., F. R. S.","author",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA
"Miss F. Isaac","author",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA
"Major J. H. Mansell","author",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"Sir A. Noble, F. R. S.","author",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"G. H. Martyn, B. Sc.","author",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"P. D. Innes, M. A., B. Sc.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"G. T. Beilby, F. R. S.","author",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA
"A. Fowler, A. R. C. S., F. R. A. S.","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"H. L. Callendar, M. A., LL. D., F. R. S.","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"Alfred W. Porter, B. Sc.","author",37,NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA
"H. E. Armstrong, F. R. S.","author",66,NA,NA,NA,NA,NA,NA,NA,NA,19,65,NA
"J. V. Eyre, Ph. D.","author",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA
"A. V. Hussey","author",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA
"W. P. Paddison","author",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA
"W. Geoffrey Duffield, B. Sc. B. A.","author",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"T. Turner, M. Sc., A. R. S. M.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Professor W. E. Ayrton, F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,20,11,NA
"T. Mather, F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"F. E. Smith, A. R. C. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Charles V. Drysdale, D. Sc.","author",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA
"Silvanus P. Thompson, D. Sc., F. R. S.","author",67,NA,NA,NA,NA,NA,NA,NA,NA,0,66,NA
"P. O. Pedersen","author",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"Lord Rayleigh, P. R. S.","author",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"F. W. Aston, A. I. C.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"the Hon. R. J. Strutt, F. R. S.","author",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"Professor W. E. Dalby, M. A.","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"F. E. Smith, A. R. C. Sc.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"R. T. Glazebrook, F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,12,11,NA
"T. M. Lowry, D. Sc.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
