id,type
William Low,author
"H. N. Dickson, B. Sc.",author
William Reid Clanny,author
Captain Younghusband,author
"J. N. Lockyer, F. R. S.",author
"Thomas A. Henry, D. Sc. Lond.",author
J. O. Justamond,author
Zach. Cradock,author
" Principal E. H. Griffiths, Sc. D., F. R. S.",author
W. Duddell,author
Wm. Heberden,author
"T. E. Thorpe, LL. D., F. R. S.",author
"Walter H. Jessop, M. A., M. B. Cantab., F. R. C. S.",author
John Harrison,author
"Edward Mellanby, M. A., M. B. (Cantab.)",author
"W. C. Roberts-Austen, F. R. S.",author
Alexander Rose,author
"Professor Owen, C. B., F. R. S., G. S., \amp;c.",author
"W. J. Penfold, M. B., C. M.",author
Dudley Cullum,author
"Sir W. Thisleton Dyer, F. R. S.",author
"Prof. T. McKenny Hughes, F. R. S.",author
Charles Oakley,author
"John H. Shaxby, B. Sc.",author
Hen. Sampson,author
T. E. Stanton,author
"W. J. Sollas, Sc. D., LL. D.",author
Anthony van Lewenhock,author
"James N. Shoolbred, B. A. (Lond.), M. Inst. C. E.",author
T. Blizard Curling,author
Aberdeen,author
Sir William Crookes,author
Joh. Ja. Scheuchzer,author
J. T. Desaguliers,author
M. Donovan,author
Dr. Williamson,author
"G. W. C. Kaye, M. A., D. Sc., Captain R. E. (T.).",author
"Professor J. C. Bose, B. A. (Cantab.), B. Sc. (Lond.)",author
William Derham,author
"Richard Norris, M. D.",author
"H. Brereton Baker, M. A.",author
"Captain Noble, late R. A., F. R. S., F. R. A. S., F. C. S.",author
"W. C. D. Whetham, M. A.",author
William Curteis,author
"Sir Archibald Geikie, K.C.B.",author
"F. Gotch, M. A., F. R. S.",author
Anthony Van Leuwenhock,author
"W. B. Hardy, B. A.",author
Mr. Lyfter,author
"T. A. Hearson, M. Inst. C. E.",author
"E. Taylor Jones, D. Sc.",author
"A. Milnes Marshall, F. R. S.",author
"Professor James Thomson, LL. D., F. R. S. E.",author
W. J. L. Wharton,author
"W. H. Young, F. R. S.",author
"T. Lauder Brunton, M. D., D. Sc. ",author
"Professor Arthur Gamgee, F. R. S.",author
"J. J. Walker, F. R. S.",author
"E. Ray Lankester, M. A. ",author
Arthur Hopwood,author
"W. F. P. McLintock, B. Sc.",author
"Hon. R. J. Strutt, F. R. S.",author
"Professor William Ramsay, Ph. D., F. R. S.",author
Donald Macfarlane,author
"Prof. Rymer Jones, F. R. S.",author
Andrea Celsio,author
Julius Pl\#xFC;cker,author
Thomas Reade,author
"Herbert Tomlinson, B. A., F. R. S.",author
"J. Russel Reynolds, M. D., F. R. S.",author
Sampson Birch,author
"Wilfred Jevons, A. R. C. Sc., D. I. C., B. Sc.",author
"G. F. Dowdeswell, B. A.",author
"J. Guild, A. R. C. S., D. I. C.",author
Claude Gros De Boze,author
G. Stovin,author
Mons. A. Cornu,author
"C. Y. Boys, A. R. S. M., F. R. S.",author
"A. C. Dixon, F. R. S.",author
F. C. Lea,author
Frederick W. Pavy,author
Thomas Forster,author
William Bentinck,author
"Keith W. Monsarrat, M. B., F. R. C. S. E.",author
"Charles Devereux Marshall, F. R. C. S.",author
A. V. Hussey,author
Charles Hutchens Burgess,author
"W. B. Haines, B. Sc.",author
A. K. Huntington.,author
Alexander Aubert,author
"Professor J. B. Farmer, F. R. S.",author
Count A. Fr. Marschall,author
"Sir Andrew Noble, Bart., K. C. B., F. R. S., D. Sc., etc.",author
"Hon. R. J. Strutt, M. A., F. R. S.",author
Andrew Mitchell,author
William Snow Harris,author
"Alexander Agassiz, For. Mem. R. S.",author
Monsieur Taverniers,author
Dr. Preston,author
Mr. Desmasters,author
"Maria Dawson, B. Sc. (Lond. and Wales)",author
Mr. Archdeacon,author
"The Earl of Rosse, D. C. L., F. R. S., \amp;c.",author
Henry Pemberton,author
Monsieur Justel,author
