target,source,type
rspa_1906_0081,"Professor J. Larmor, Sec. R. S.",authored
rspa_1906_0082,"Reginald Graham Durrant, M. A., F. C. S.",authored
rspa_1906_0082,"W. A. Shenstone, F. R. S.",authored
rspa_1906_0083,"W. A. Douglas Rudge, M. A.",authored
rspa_1906_0083,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0084,"E. H. B\#xFC;chner, Ph. D.",authored
rspa_1906_0084,"Sir William Ramsay, F. R. S.",authored
rspa_1906_0085,L. Southerns,authored
rspa_1906_0085,"Professor W. M. Hicks, F. R. S.",authored
rspa_1906_0086,"W. N. Hartley, D. Sc., F. R. S.",authored
rspa_1906_0087,J. W. Gifford,authored
rspa_1906_0087,"W. A. Shenstone, F. R. S.",authored
rspa_1906_0088,Bertrand J. P. Roberts,authored
rspa_1906_0088,"Sir John I. Thornycroft, F. R. S.",authored
rspa_1906_0089,"Orme Masson, D. Sc., F. R. S.",authored
rspa_1906_0089,"E. S. Richards, B. Sc.",authored
rspa_1907_0001,P. F. F.,authored
rspa_1907_0001,B. W.,authored
rspa_1907_0001,A. N.,authored
rspa_1907_0001,H. F. N.,authored
rspa_1907_0001,E. D.,authored
rspa_1907_0001,A. M. F.,authored
rspa_1907_0001,A. M.,authored
rspa_1907_0001,H. H. T.,authored
rspa_1907_0001,J. E. S.,authored
rspa_1907_0001,R. S. B.,authored
rspa_1907_0002,"Frederick Soddy, M. A.",authored
rspa_1907_0002,"J. Larmor, Sec. R. S.",authored
rspa_1907_0002,Arthur John Berry,authored
rspa_1907_0003,"Major P. A. MacMahon, F. R. S., etc.",authored
rspa_1907_0004,"S. E. Sheppard, D. Sc.",authored
rspa_1907_0004,"C. E. K. Mees, D. Sc.",authored
rspa_1907_0004,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1907_0005,"A. Mallock, F. R. S",authored
rspa_1907_0006,"Joseph Edward Coates, B. Sc.",authored
rspa_1907_0006,"Sir William Ramsay, F. R. S.",authored
rspa_1907_0007,"H. Stanley Allen, M. A., B. Sc.",authored
rspa_1907_0007,"Professor H. A. Wilson, F. R. S.",authored
rspa_1907_0008,"Howard L. Bronson, Ph. D.",authored
rspa_1907_0008,"Professor E. Rutherford, F. R. S.",authored
rspa_1907_0009,"Lord Rayleigh, O. M., D. C. L.",authored
rspa_1907_0011,"William Ellis, F. R. S.",authored
rspa_1907_0012,"Richard C. Maclaurin, M. A., LL. D.",authored
rspa_1907_0012,"Professor J. Larmor, Sec. R. S.",authored
rspa_1907_0013,"T. H. Havelock, M. A., D. Sc.",authored
rspa_1907_0013,"Professor J. Larmor, Sec. R. S.",authored
rspa_1907_0014,"E. Gold, B. A.",authored
rspa_1907_0014,"Professor H. A. Wilson, F. R. S.",authored
rspa_1907_0015,"Sir James Dewar, M. A., Sc. D., LL. D., F. R. S.",authored
rspa_1907_0015,"Humphrey Owen Jones, M. A., D. Sc.",authored
rspa_1907_0016,"Francis William Aston, A. I. C.",authored
rspa_1907_0016,"Professor J. H. Poynting, F. R. S.",authored
rspa_1907_0017,"Frank Horton, D. Sc., B. A.",authored
rspa_1907_0017,"Professor J. J. Thomson, F. R. S.",authored
rspa_1907_0018,"Sir William Crookes, D. Sc., F. R. S.",authored
rspa_1907_0019,"Joseph Lunt, B. Sc., F. I. C.",authored
rspa_1907_0019,"Sir David Gill, K. C. B., F. R. S., H. M.",authored
rspa_1907_0020,the Earl of Berkeley,authored
rspa_1907_0020,"Professor J. Larmor, Sec. R. S.",authored
rspa_1907_0021,"S. W. J. Smith, M. A., A. R. C. S.",authored
rspa_1907_0021,"Sir Arthur W. R\#xFC;cker, F. R. S.",authored
rspa_1907_0022,A. A. Campbell Swinton,authored
rspa_1907_0022,"Sir William Crookes, F. R. S.",authored
rspa_1907_0023,Bertram Hopkinson,authored
rspa_1907_0023,"Professor H. L. Callendar, F. R. S.",authored
rspa_1907_0024,R. S. Hutton,authored
rspa_1907_0024,J. E. Petavel,authored
rspa_1907_0024,"Professor A. Schuster, F. R. S.",authored
rspa_1907_0025,Walter Makower,authored
rspa_1907_0025,Sidney Russ,authored
rspa_1907_0025,"Professor Arthur Schuster, F. R. S.",authored
rspa_1907_0026,"R. Threlfall, F. R. S.",authored
rspa_1907_0027,"O. U. Vonwiller, B. Sc.",authored
rspa_1907_0027,"W. H. Mason, B. Sc.",authored
rspa_1907_0027,"R. Threlfall, F. R. S.",authored
rspa_1907_0028,G. Udny Yule,authored
rspa_1907_0028,"Professor O. Henrici, F. R. S.",authored
rspa_1907_0029,"A. E. H. Love, F. R. S.",authored
rspa_1907_0030,"L. N. G. Filon, M. A., D. Sc.",authored
rspa_1907_0030,"Professor F. T. Trouton, F. R. S.",authored
rspa_1907_0031,C. Cuthbertson,authored
rspa_1907_0031,"E. Parr Metcalfe, B. Sc.",authored
rspa_1907_0031,"Professor Trouton, F. R. S.",authored
rspa_1907_0032,"Morris W. Travers, D. Sc., F. R. S.",authored
rspa_1907_0033,T. H. Laby,authored
rspa_1907_0033,"Prof. J. J. Thomson, F. R. S.",authored
rspa_1907_0034,"R. D. Kleeman, B. Sc.",authored
rspa_1907_0034,"Professor J. J. Thomson, F. R. S.",authored
rspa_1907_0035,"Harold B. Dixon, M. A., F. R. S.",authored
rspa_1907_0035,"Lawrence Bradshaw, M. Sc.",authored
rspa_1907_0036,"Lawrence Bradshaw, M. Sc., Ph. D.",authored
